자치구,안전시설수,전반적안전도점수,절도폭력안전도점수,강도살인안전도점수,순찰활동점수,치안예방활동점수,야간통행안전도점수,월평균소득액,CCTV수,사건사고합계,112합계,유동인구,경찰관수,순찰차수,유흥주점수,단란주점수,보안등수,부동산평균가,총인구수,자치구면적,가구수,한국인수,외국인수,고령자수,상권변화지표_골목상권,상권변화지표_발달상권,상권변화지표_전통시장,상권규모
강남구,30,81.1,84.9,86.6,71.8,64.4,82.5,4799007,6397,195389,1108556,35311,1569,50,177,204,10211,136881.0875,537800,39.51,234885,531777,4933,80335,3,1,3,12463
강동구,23,83,83.8,86.3,71.3,66.2,82.2,3336210,2809,72973,638989,43184,768,28,100,88,7534,62274.08656,466472,24.58,202861,461630,3866,765,3,1,3,3480
강북구,20,73.6,77.3,79.6,68.2,63.4,76.7,2599556,2300,60995,548396,34279,679,23,66,87,9777,35962.3874,302563,23.6,145048,296653,3593,65317,3,0,3,2457
강서구,20,81.3,83.2,83.7,70.8,66.4,80.9,3165221,2867,94551,678312,25809,946,30,126,160,8646,40475.7295,579768,41.44,274301,573045,5420,94936,1,3,1,5390
관악구,24,78.3,81.4,83.3,72.1,68.1,79.6,2782525,4785,94461,730077,42119,913,34,184,81,11893,48267.42239,499449,29.57,281423,486946,13895,81247,3,0,1,6364
광진구,19,79.2,82.7,84.5,72.1,67,79,3066952,2846,79118,641989,52125,745,28,14,71,8971,65040.72027,352627,17.06,169856,339893,12903,53009,3,1,1,2108
구로구,25,81.1,82.7,85.2,71.4,68.7,80.3,2890323,4228,86867,627462,35555,761,24,32,73,8015,42635.91587,421163,20.12,182172,394850,23859,74352,3,0,1,4980
금천구,16,75.6,79.1,81.2,68.3,63.2,76.8,2567770,2393,68586,476975,30328,585,18,44,66,6301,38793.30045,244891,13.02,119627,231565,13666,42230,3,0,1,810
노원구,22,77.3,79.3,79.5,67.2,61.9,76.6,3193595,2400,72730,642214,25312,810,27,21,38,6791,57338.0655,514946,35.44,218637,508066,4096,90053,1,0,3,2730
도봉구,16,76.9,83,84.3,69.8,63.9,77.4,2713315,1403,43561,395745,28677,567,18,20,44,6344,34344.47066,319373,20.65,139076,314791,2125,65693,1,3,3,3268
동대문구,30,73.6,80.2,82.8,67.9,61.5,73.9,3011303,2502,73251,478172,67266,837,31,64,77,10528,59232.71391,352006,14.21,169931,337330,15413,63427,1,1,1,7084
동작구,29,81.3,84.8,86.7,74.5,69.3,81.2,3436506,6616,59529,368281,46535,672,25,46,34,9199,74870.25255,394364,16.35,187380,385898,9132,67815,3,0,0,2850
마포구,29,79.9,84.3,86.1,71.2,66.4,81,4022976,2319,89167,761850,42779,902,31,48,63,7402,72859.31185,378686,23.85,181138,367584,10706,55479,3,1,1,8393
서대문구,16,77.9,80.9,84.3,68.4,64.4,77.5,3943923,2940,58312,494747,53464,692,25,28,48,9262,62352.19783,315659,17.63,145517,305623,11892,55262,3,1,0,7626
서초구,30,84.6,87.8,89,74.7,70.3,84.9,4657076,7018,120702,747005,20119,1121,30,45,86,11396,127054.3498,416167,47,169518,407672,3843,61711,2,1,1,5304
성동구,19,82,85.3,87.5,73.1,70,81,3535332,3921,54412,399960,38776,641,22,22,37,8015,103690.1375,292672,16.86,134327,283821,6843,47152,3,1,0,8855
성북구,31,75.9,80.6,82.7,70.9,63.3,76.5,3181782,3902,66326,556612,43375,930,29,8,48,10000,63975.57426,440142,24.57,198089,433559,10264,76257,1,0,3,13072
송파구,30,80.2,82.6,84.9,68.3,62.6,80.3,3969562,4946,113893,899088,36299,1047,36,87,140,8816,74445.24124,663965,33.88,286119,662961,5677,101086,3,1,3,4550
양천구,27,83.3,86.9,88.3,71.9,68.3,83.3,3563309,6243,69955,551135,45514,754,22,4,64,7367,54517.47034,450487,17.41,181987,444548,3190,70636,3,1,3,2352
영등포구,22,80.5,81.9,83.4,72.8,68.1,78.3,3548012,3773,115043,667311,45265,1009,32,130,136,9052,64839.94941,400908,24.55,188759,376437,23285,63951,3,1,0,16268
용산구,18,78.1,81.3,84.3,68.3,63.3,78.7,3783427,2039,66219,515323,26575,719,25,23,94,9999,110822.9041,237285,21.86,111860,222263,14369,39615,3,1,1,5757
은평구,28,77.3,81.5,84,70.8,65.3,77.6,2984036,7677,69566,668119,37219,926,31,79,129,9917,40004.18146,477173,29.7,216455,473674,3786,89141,3,1,0,3468
종로구,31,79.2,84.3,86.4,73.8,67.1,79.3,3457535,1616,75604,536614,21203,1131,33,186,105,8723,67527.02891,153789,23.91,73728,143624,9631,28170,3,0,0,17787
중구,26,76.25,81.9,85,70,64.7,77.7,3910224,2460,79800,563212,47546,1021,29,213,62,6071,69055.28115,131787,9.96,63958,122088,9585,24948,0,0,0,17200
중랑구,22,70,74.3,77.2,65.1,60,71.6,2560383,4460,72393,642115,51104,776,24,17,92,9911,48991.68912,391885,18.5,188188,388509,4638,73465,3,1,1,2928
